136	A-Child-s-Garden-of-Verses_136
137	Sara-Crewe--Or-What-Happened-at-Miss-Minchin-s-Boarding-School_137
138	George-Sand--Some-Aspects-of-Her-Life-and-Writings_138
139	The-Lost-World_139
140	The-Jungle_140
141	Mansfield-Park_141
142	The--30-000-Bequest-and-Other-Stories_142
143	The-Mayor-of-Casterbridge_143
144	The-Voyage-Out_144
145	Middlemarch_145
146	A-Little-Princess--13-Being-the-whole-story-of-Sara-Crewe-now-told-for-the-first-time_146
147	Common-Sense_147
148	The-Autobiography-of-Benjamin-Franklin_148
149	The-Lost-Continent_149
150	The-Republic_150
151	The-Rime-of-the-Ancient-Mariner_151
152	Wild-Justice_152
153	Jude-the-Obscure_153
154	The-Rise-of-Silas-Lapham_154
155	The-Moonstone_155
156	Symphony-No.-5-in-C-minor-Opus-67_156
157	Daddy-Long-Legs_157
158	Emma_158
159	The-Island-of-Doctor-Moreau_159
160	The-Awakening-and-Selected-Short-Stories_160
161	Sense-and-Sensibility_161
162	Take-Me-for-a-Ride--Coming-of-Age-in-a-Destructive-Cult_162
163	Flower-Fables_163
164	Twenty-Thousand-Leagues-under-the-Sea_164
165	McTeague--A-Story-of-San-Francisco_165
166	Summer_166
167	American-Hand-Book-of-the-Daguerreotype_167
168	The-History-and-Practice-of-the-Art-of-Photography_168
169	The-Well-at-the-World-s-End-A-Tale_169
170	The-Haunted-Hotel--A-Mystery-of-Modern-Venice_170
171	Charlotte-Temple_171
172	The-Haunted-Bookshop_172
173	The-Insidious-Dr-Fu-Manchu_173
174	The-Picture-of-Dorian-Gray_174
175	The-Phantom-of-the-Opera_175
176	Roderick-Hudson_176
177	The-American_177
178	Confidence_178
179	The-Europeans_179
180	The-1994-CIA-World-Factbook_180
200	The-Project-Gutenberg-Encyclopedia--13-Volume-1-of-28_200
201	Flatland--A-Romance-of-Many-Dimensions--Illustrated-_201
202	My-Bondage-and-My-Freedom_202
203	Uncle-Tom-s-Cabin_203
204	The-Innocence-of-Father-Brown_204
205	Walden-and-On-The-Duty-Of-Civil-Disobedience_205
206	The-Martin-Luther-King-Jr-Day-1995-Memorial-Issue_206
207	The-Spell-of-the-Yukon-and-Other-Verses_207
208	Daisy-Miller--A-Study_208
209	The-Turn-of-the-Screw_209
210	An-International-Episode_210
211	The-Aspern-Papers_211
212	A-List-of-Factorial-Math-Constants_212
213	The-Man-from-Snowy-River_213
214	In-the-Days-When-the-World-Was-Wide-and-Other-Verses_214
215	The-Call-of-the-Wild_215
216	The-Tao-Teh-King-or-the-Tao-and-its-Characteristics_216
217	Sons-and-Lovers_217
218	C.-Iuli-Caesaris-De-Bello-Gallico_218
219	Heart-of-Darkness_219
220	The-Secret-Sharer_220
221	The-Return-of-Sherlock-Holmes_221
222	The-Moon-and-Sixpence_222
223	The-Wisdom-of-Father-Brown_223
224	A-Pair-of-Blue-Eyes_224
225	At-the-Back-of-the-North-Wind_225
226	Cicero-s-Orations_226
227	Aeneidos_227
228	The-Aeneid_228
229	The-Bucolics-and-Eclogues_229
230	The-Bucolics-and-Eclogues_230
231	Georgicon_231
232	The-Georgics_232
233	Sister-Carrie--a-Novel_233
234	Child-Christopher-and-Goldilind-the-Fair_234
235	William-Gibson-Interviewed_235
236	The-Jungle-Book_236
237	Sexti-Properti-Elegiarvm--Liber-Primvs_237
238	Dear-Enemy_238
240	Stories-from-the-Old-Attic_240
241	Clotelle--or-the-Colored-Heroine-a-tale-of-the-Southern-States--or-the-President-s-Daughter_241
242	My-Antonia_242
243	The-Forged-Coupon-and-Other-Stories_243
244	A-Study-in-Scarlet_244
245	Life-on-the-Mississippi_245
246	The-Rubaiyat-of-Omar-Khayyam_246
247	Webster-s-Unabridged-Dictionary--1st-100-Pages-_247
248	Webster-s-Unabridged-Dictionary--2nd-100-Pages-_248
