3651	Dataset	The-Square-Root-of-4-to-a-Million-Places_3651
3680	Undetermined	Cartrefi-Cymru_3680
3696	Undetermined	The-Prince-and-the-Page-A-Story-of-the-Last-Crusade_3696
4366	Undetermined	Can-Such-Things-Be_4366
4387	Undetermined	Present-at-a-Hanging-and-Other-Ghost-Stories_4387
4749	Image	
4750	Image	
4751	Image	
4949	Image	
4950	Image	
4951	Image	
5188	Image	
5189	Image	
5190	Image	
5212	MovingImage	Film--Trinity-Shot--first-US-Atomic-Test-_5212
5213	MovingImage	Film--the-Bikini-Island-ABLE-Atomic-Test_5213
5214	MovingImage	Film--the-Bikini-Island-BAKER-Atomic-Test_5214
5215	MovingImage	Film--Several-Different-Atomic-Detonations_5215
5216	MovingImage	Film--Set-of-4-Atomic-Bomb-Test-Films_5216
5613	Reserved	
5627	Image	
5634	Image	
5635	Image	
5714	Image	
5884	Sound	The-Flying-Saucers-are-Real_5884
5885	Image	
5886	Image	
6084	Image	
6161	Dataset	
6348	Dataset	
6349	Dataset	
6419	Dataset	
6420	Dataset	
6532	Sound	Tarzan-of-the-Apes_6532
6533	Sound	A-Connecticut-Yankee-in-King-Arthur-s-Court_6533
6534	Sound	Dracula_6534
6535	Sound	The-Atomic-Bombings-of-Hiroshima-and-Nagasaki_6535
6536	Sound	
6537	Sound	Riders-of-the-Purple-Sage_6537
6538	Sound	20-000-Leagues-under-the-Sea_6538
6539	Sound	The-Hunchback-of-Notre-Dame_6539
6540	Sound	The-South-Pole--an-account-of-the-Norwegian-Antarctic-expedition-in-the--Fram---1910-12---Volu__6540
6541	Sound	South-Sea-Tales_6541
6542	Sound	Frankenstein_6542
6543	Sound	Droll-Stories_6543
6544	Sound	Aaron-s-Rod_6544
6545	Sound	Frederick-Douglass-on-Reconstruction_6545
6546	Sound	Beethoven-the-Man-and-the-Artist-as-Revealed-in-His-Own-Words_6546
6547	Sound	The-Conquest-of-Canaan_6547
6548	Sound	Captain-Blood_6548
6550	Sound	The-House-of-Mapuhi_6550
6551	Sound	Crome-Yellow_6551
6552	Sound	His-Own-People_6552
6553	Sound	Wessex-Tales_6553
6554	Sound	Penrod_6554
6555	Sound	De-Profundis_6555
6556	Sound	The-Jungle_6556
6557	Sound	The-Fall-of-the-House-of-Usher_6557
6620	Sound	The-Time-Machine_6620
6871	Image	
6937	Undetermined	A-Biography-of-Edmund-Spenser_6937
6951	Sound	Journal-of-Researches-into-the-Natural-History-and-Geology-of-the-Countries-Visited-During-the__6951
7053	Undetermined	Pages-from-a-Journal-with-Other-Papers_7053
7092	Image	
7093	Image	
7094	Sound	Don-Quixote_7094
7507	Image	
7536	Unused	
7869	Sound	A-Tale-of-Two-Cities_7869
7872	Sound	Dubliners_7872
7873	Sound	The-Insidious-Dr.-Fu-Manchu_7873
7874	Sound	Lord-Jim_7874
8204	Sound	Three-Men-in-a-Boat_8204
8205	Sound	On-the-Origin-of-Species_8205
8227	Sound	Middlemarch_8227
8608	Sound	Great-Expectations_8608
8609	Sound	A-Midsummer-Night-s-Dream_8609
8610	Sound	Howard-Pyle-s-Book-of-Pirates--13-Fiction-Fact--amp--Fancy-Concerning-the-Buccaneers--amp--Mar__8610
8611	Sound	The-Prince-and-the-Pauper_8611
8612	Sound	Through-Space-to-Mars--Or-the-Longest-Journey-on-Record_8612
8613	Sound	The-Poison-Belt_8613
8614	Sound	The-Lost-World_8614
8615	Sound	A-Study-in-Scarlet_8615
8616	Sound	The-Stark-Munro-Letters--13-Being-series-of-twelve-letters-written-by-J.-Stark-Munro-M.B.-to-h__8616
8617	Sound	The-Captain-of-the-Polestar-and-Other-Tales_8617
8618	Sound	The-Parasite_8618
8619	Sound	Round-the-Red-Lamp_8619
8620	Sound	The-Vital-Message_8620
8621	Sound	Tales-of-Terror-and-Mystery_8621
8622	Sound	The-New-Revelation_8622
8623	Sound	The-Adventures-of-Gerard_8623
8624	Sound	The-Adventures-of-Sherlock-Holmes_8624
8625	Sound	The-Sign-of-the-Four_8625
8626	Sound	The-Adventure-of-Wisteria-Lodge_8626
8627	Sound	The-Adventure-of-the-Cardboard-Box_8627
8628	Sound	The-Adventure-of-the-Red-Circle_8628
8629	Sound	Sir-Nigel_8629
8630	Sound	The-Adventure-of-the-Bruce-Partington-Plans_8630
8631	Sound	The-Adventure-of-the-Dying-Detective_8631
8632	Sound	The-Disappearance-of-Lady-Frances-Carfax_8632
8633	Sound	The-Adventure-of-the-Devil-s-Foot_8633
8634	Sound	His-Last-Bow_8634
8635	Sound	The-Hound-of-the-Baskervilles_8635
8636	Sound	Songs-of-Action_8636
8637	Sound	Through-the-Magic-Door_8637
8748	Sound	A-Princess-of-Mars_8748
8749	Sound	The-Gods-of-Mars_8749
8750	Sound	Warlord-of-Mars_8750
8751	Sound	Thuvia-Maid-of-Mars_8751
8752	Sound	The-Return-of-Tarzan_8752
8753	Sound	The-Beasts-of-Tarzan_8753
8754	Sound	The-Son-of-Tarzan_8754
8755	Sound	Tarzan-and-the-Jewels-of-Opar_8755
8756	Sound	The-Monster-Men_8756
8757	Sound	At-the-Earth-s-Core_8757
8758	Sound	Jungle-Tales-of-Tarzan_8758
8759	Sound	The-Lost-Continent_8759
8760	Sound	The-Mad-King_8760
8761	Sound	The-Oakdale-Affair_8761
8762	Sound	The-Outlaw-of-Torn_8762
8763	Sound	The-Land-That-Time-Forgot_8763
8764	Sound	The-People-That-Time-Forgot_8764
8765	Sound	Pellucidar_8765
8766	Sound	The-Chessmen-of-Mars_8766
8767	Sound	Tarzan-the-Untamed_8767
8768	Sound	Tarzan-the-Terrible_8768
8769	Sound	The-Efficiency-Expert_8769
8806	Sound	The-Mucker_8806
8807	Sound	Cuba-in-War-Time_8807
8808	Sound	Narrative-of-the-Voyages-Round-the-World-Performed-by-Captain-James-Cook--13-With-an-Account-o__8808
8809	Sound	Aesop-s-Fables_8809
8810	Sound	Ben-Hur--a-tale-of-the-Christ_8810
8811	Sound	Captain-Cook-s-Journal-During-His-First-Voyage-Round-the-World--13-Made-in-H.-M.-Bark--Endeavo__8811
8812	Sound	The-Secret-Garden_8812
8816	Sound	Quo-Vadis-a-Narrative-of-the-Time-of-Nero_8816
8817	Sound	The-Game_8817
8818	Sound	The-Last-Days-of-Pompeii_8818
8958	Sound	The-Age-of-Innocence_8958
8959	Sound	Narratives-of-New-Netherland-1609-1664_8959
8960	Sound	The-Great-Riots-of-New-York-1712-to-1873_8960
8962	Sound	The-Four-Million_8962
8963	Sound	Maggie-a-Girl-of-the-Streets_8963
8965	Sound	Floor-Games_8965
8966	Sound	Secret-Places-of-the-Heart_8966
8967	Sound	The-Door-in-the-Wall-and-Other-Stories_8967
8968	Sound	The-World-Set-Free_8968
8969	Sound	The-War-in-the-Air_8969
8970	Sound	Twelve-Stories-and-a-Dream_8970
8971	Sound	The-Island-of-Doctor-Moreau_8971
